"Timestamp","Gender: ","What is your current occupation?","What are your hobbies? (You may select more than 1)","Do you enjoy socializing with large groups of people?","Do you enjoy challenges?","How creative of a person do you think you are?","How logical of a person do you think you are?","Would you prefer to engage your brain more than your body?","Are you a curious person?","Are you a perfectionist?","Are you a trusting person?","Do you have lot of patience?","Do you organize your schedule well?","Do you like to sit in front of a computer for long hours?","Do you enjoy making others happy?","Can you understand others' perspectives and feelings?","How confident are you in your own abilities?","What boosts your confidence ? ","I prefer to spend my money on....","How do you organize your thoughts? Please pick whichever is closest.","Choose a pet which you prefer to keep.","What is your favorite time of the day?","Would you rather visit the future or the past?","What do you worry more about the most?","When you retire, you'd like to live...","What is your favorite color?","What is your learning style? (Pick one that benefit you the most)"
"2021/04/20 12:04:01 PM GMT+8","Female","Employed","Football;Badminton","3","3","3","3","3","4","5","4","4","4","4","4","4","4","Owning famous brands","The latest technology","I write it down in my calendar","Rabbit","Evening","The future","How others see me","Exactly where I live now","Purple","By reading an e-Book"
"2021/04/20 12:04:18 PM GMT+8","Male","University student","Dancing;Fishing","4","1","2","3","2","3","3","2","3","4","2","3","2","3","By earning a lot of money","The latest technology","I talk to myself out loud","Dog","Morning","The future","Your future","In a hectic big city","Yellow","By reading an e-Book"
"2021/04/20 12:08:21 PM GMT+8","Male","University student","Badminton;Playing computer games;Playing board games;Reading","2","3","4","4","4","4","4","4","4","4","5","4","3","3","When someone acknowledges you","The latest technology","Jotting it down on a scrap of paper","Fish","Night","Neither. I prefer the present","Your future","In a small town","Green","By attending online courses"
"2021/04/21 5:18:20 PM GMT+8","Male","University student","Football;Jogging;Playing board games;Reading;Writing","4","4","4","4","3","5","5","3","4","4","4","5","4","5","When someone acknowledges you","Food","Any combination of these","Dog","Morning","Neither. I prefer the present","Your family and friends","Overseas","Green","By doing tutorial/lab questions"
"2021/04/21 5:18:40 PM GMT+8","Male","University student","Football;Dancing;Playing computer games;Reading","2","4","4","5","5","5","5","5","3","5","5","5","5","4","When someone acknowledges you","Home Improvements","I talk to myself out loud","Dog","Night","The future","Your future","Traveling the world","Blue","By reading an e-Book"
"2021/04/21 5:23:38 PM GMT+8","Male","University student","Badminton;Playing computer games;Reading","4","4","3","4","3","4","4","4","4","4","4","4","4","4","When you accomplish a project","Activities with friends","Jotting it down on a scrap of paper","Dog","Night","Neither. I prefer the present","Your family and friends","Traveling the world","Blue","By attending online courses"
"2021/04/21 5:25:01 PM GMT+8","Female","University student","Badminton;Gardening;Playing computer games;Reading;Writing;Painting","1","2","5","4","5","5","5","5","5","5","5","5","5","5","By earning a lot of money","Home Improvements","I write it down in my calendar","I'm not a pet person","Morning","The future","Your family and friends","Exactly where I live now","Blue","By doing assignments"
"2021/04/21 5:25:09 PM GMT+8","Female","University student","Swimming;Dancing;Reading","3","2","2","3","3","3","2","3","3","2","3","3","2","2","When someone acknowledges you","Food","Jotting it down on a scrap of paper","Dog","Night","The past","Your future","Traveling the world","Blue","By doing tutorial/lab questions"
"2021/04/21 5:25:50 PM GMT+8","Male","University student","Football;Badminton;Jogging;Playing computer games;Cooking;Reading;Writing;Singing","4","4","2","4","4","4","3","2","1","3","4","5","4","2","When someone acknowledges you","Food","Any combination of these","Dog","Night","The past","Your future","Traveling the world","Green","By doing tutorial/lab questions"
"2021/04/21 5:26:13 PM GMT+8","Male","Employed","Playing computer games;Reading;Painting","2","3","4","4","5","4","3","3","4","1","3","5","5","4","When someone acknowledges you","Food","Jotting it down on a scrap of paper","Cat","Night","The future","Money","In a small town","Red","By doing assignments"
"2021/04/21 5:26:53 PM GMT+8","Female","University student","Playing computer games;Playing board games;Cooking;Reading;Painting;Puzzles","5","4","4","2","1","5","4","5","2","3","2","5","4","4","By leading others to success","Activities with friends","I write it down in my calendar","I'm not a pet person","Morning","The future","Your future","Traveling the world","Yellow","By doing tutorial/lab questions"
"2021/04/21 5:27:21 PM GMT+8","Female","University student","Badminton;Cooking;Writing;Painting","5","5","5","3","4","3","4","4","3","2","3","4","4","4","By leading others to success","The latest technology","I talk to myself out loud","Bird","Evening","The past","Your family and friends","Overseas","Red","By reading a physical book"
"2021/04/21 5:28:15 PM GMT+8","Female","Unemployed","Dancing","4","2","3","3","2","5","4","5","5","5","4","4","4","4","By leading others to success","The latest fashion","Jotting it down on a scrap of paper","Snake","Night","Neither. I prefer the present","How others see me","Overseas","Blue","By reading an e-Book"
"2021/04/21 5:29:32 PM GMT+8","Female","University student","Dancing","2","5","5","4","5","5","3","3","3","3","5","5","5","5","By earning a lot of money","The latest technology","I talk to myself out loud","Cat","Evening","Neither. I prefer the present","The state of the world","In a small town","Purple","By doing tutorial/lab questions"
"2021/04/21 5:29:36 PM GMT+8","Female","University student","Dancing","2","5","5","4","5","5","3","3","3","3","5","5","5","5","By earning a lot of money","The latest technology","I talk to myself out loud","Cat","Evening","Neither. I prefer the present","The state of the world","In a small town","Purple","By doing tutorial/lab questions"
"2021/04/21 5:30:22 PM GMT+8","Female","Employed","Playing computer games;Cooking;Writing;Collecting;Singing","5","4","5","4","3","4","3","4","5","5","5","3","5","3","When you accomplish a project","Food","I talk to myself out loud","Dog","Morning","The past","Your future","Exactly where I live now","Blue","By reading an e-Book"
